draft,categories,layout,title,url,slug,ext,tags
false,,publication,2SexE,"",2sexe,.md,
false,,publication,A Magical Universe: The Best of Magical Blend Magazine,"",a-magical-universe-the-best-of-magical-blend-magazine,.md,
false,,publication,Adbusters,https://www.adbusters.org/,adbusters,.md,
false,,publication,Anthologies,,anthologies,.md,
false,,publication,Art-Toys,"",art-toys,.md,
false,,publication,Arthur,,arthur,.md,
false,,publication,The Atlantic,,atlantic,.md,
false,,publication,Authorship,"",authorship,.md,
false,,publication,BA Business Life,"",ba-business-life,.md,
false,,publication,Better Work Together: How the Power of Community Can Transform Your Business,"",better-work-together-how-the-power-of-community-can-transform-your-business,.md,
false,,publication,Boing Boing,"",boing-boing,.md,
false,,publication,Bookmark Now: Writing in Unreaderly Times,"",bookmark-now-writing-in-unreaderly-times,.md,
false,,publication,Breakthrough!: Proven Strategies to Overcome Creative Block and Spark Your Imagination,"",breakthrough-proven-strategies-to-overcome-creative-block-and-spark-your-imagination,.md,
false,,publication,ChangeThis,"",changethis,.md,
false,,publication,Chicago Herald,"",chicago-herald,.md,
false,,publication,CNN,,cnn,.md,
false,,publication,Communication and Cyberspace: Social Interaction in an Electronic Environment,"",communication-and-cyberspace-social-interaction-in-an-electronic-environment,.md,
false,,publication,"Confidence, or the Appearance of Confidence","",confidence-or-the-appearance-of-confidence,.md,
false,,publication,Contact,"",contact,.md,
false,,publication,Contemplate: The International Journal of Cultural Jewish Thought,"",contemplate-the-international-journal-of-cultural-jewish-thought,.md,
false,,publication,Conversations on the Edge of the Apocalypse,"",conversations-on-the-edge-of-the-apocalypse,.md,
false,,publication,Core,"",core,.md,
false,,publication,The Daily Beast,,daily_beast,.md,
false,,publication,De Wereld Volgens Ampersix,"",de-wereld-volgens-ampersix,.md,
false,,publication,Debating Democracy,"",debating-democracy,.md,
false,,publication,Depression 2.0: Creative Strategies for Tough Economic Times,"",depression-2.0-creative-strategies-for-tough-economic-times,.md,
false,,publication,Designing for a Digital World,"",designing-for-a-digital-world,.md,
false,,publication,Develop,"",develop,.md,
false,,publication,Digital Trends,,digital_trends,.md,
false,,publication,DigitAll,"",digitall,.md,
false,,publication,Disco Biscuits: New Fiction from the Chemical Generation,"",disco-biscuits-new-fiction-from-the-chemical-generation,.md,
false,,publication,Discover,,discover,.md,
false,,publication,Disinformation: The Interviews,"",disinformation-the-interviews,.md,
false,,publication,Echo,"",echo,.md,
false,,publication,Economic Times,,economic_times,.md,
false,,publication,Ecstasy: The Complete Guide,"",ecstasy-the-complete-guide,.md,
false,,publication,Edutopia,,edutopia,.md,
false,,publication,EME: Explorations in Media Ecology,"",eme-explorations-in-media-ecology,.md,
false,,publication,Esquire,,esquire,.md,
false,,publication,eXe Magazine,"",exe-magazine,.md,
false,,publication,Exposure,"",exposure,.md,
false,,publication,Fast Company,"",fast-company,.md,
false,,publication,The Feature,,feature,.md,
false,,publication,"Follow for Now, Vol. 2: More Interviews with Friends and Heroes","",follow-for-now-vol.2-more-interviews-with-friends-and-heroes,.md,
false,,publication,Fortune,"",fortune,.md,
false,,publication,The Forward,,forward,.md,
false,,publication,Fresh Cream,"",fresh-cream,.md,
false,,publication,Future Now,"",future-now,.md,
false,,publication,The Futurist,,futurist,.md,
false,,publication,GDI Impuls,"",gdi-impuls,.md,
false,,publication,General Semantics Bulletin,"",general-semantics-bulletin,.md,
false,,publication,Geographical,,geographical,.md,
false,,publication,Good Trouble,"",good-trouble,.md,
false,,publication,GOOD,,good,.md,
false,,publication,Graven Images: Religion in Comic Books and Graphic Novels,"",graven-images-religion-in-comic-books-and-graphic-novels,.md,
false,,publication,The Guardian,,guardian,.md,
false,,publication,H+,,h_plus,.md,
false,,publication,Handbook of Computer Game Studies,"",handbook-of-computer-game-studies,.md,
false,,publication,Harper's Magazine,"",harper-s-magazine,.md,
false,,publication,Heeb,"",heeb,.md,
false,,publication,Hemispheres Magazine,,hemispheres_magazine,.md,
false,,publication,HiLobrow,"",hilobrow,.md,
false,,publication,Holland Herald,"",holland-herald,.md,
false,,publication,Homeland Gameshow,"",homeland-gameshow,.md,
false,,publication,How to MozFest,"",how-to-mozfest,.md,
false,,publication,Huffington Post,,huffington_post,.md,
false,,publication,IOU: New Writing on Money,"",iou-new-writing-on-money,.md,
false,,publication,Iowa Journal of Cultural Studies,"",iowa-journal-of-cultural-studies,.md,
false,,publication,Jewish Journal,"",jewish-journal,.md,
false,,publication,The Jewish Week,,jewish_week,.md,
false,,publication,Journal of Cognitive Liberties,"",journal-of-cognitive-liberties,.md,
false,,publication,Killed: Great Journalism Too Hot to Print,"",killed-great-journalism-too-hot-to-print,.md,
false,,publication,Lifestyles,"",lifestyles,.md,
false,,publication,London Times,,london_times,.md,
false,,publication,Los Angeles Times,,los_angeles_times,.md,
false,,publication,Market Leader,"",market-leader,.md,
false,,publication,Mashable,,mashable,.md,
false,,publication,Media Education for a Digital Generation,"",media-education-for-a-digital-generation,.md,
false,,publication,MediaPost,"",mediapost,.md,
false,,publication,Medium,,medium,.md,
false,,publication,Men's Health,"",men-s-health,.md,
false,,publication,MMW Magazine,"",mmw-magazine,.md,
false,,publication,The Nation,,nation,.md,
false,,publication,New Inquiry,"",new-inquiry,.md,
false,,publication,New Perspectives Quarterly,"",new-perspectives-quarterly,.md,
false,,publication,New York Law School Law Review,"",new-york-law-school-law-review,.md,
false,,publication,New York Press,"",new-york-press,.md,
false,,publication,New York Times,,new_york_times,.md,
false,,publication,Nieman Reports,"",nieman-reports,.md,
false,,publication,Nieman Reports,,nieman_reports,.md,
false,,publication,Nokia's The Feature,,nokias_the_feature,.md,
false,,publication,Nonprofit Quarterly,"",nonprofit-quarterly,.md,
false,,publication,NY Press,,ny_press,.md,
false,,publication,The New York Times Syndicate/Guardian of London,,nyt_syndicate_guardian_of_london,.md,
false,,publication,Observer,"",observer,.md,
false,,publication,One+,,one_plus,.md,
false,,publication,Open Source Democracy,"",open-source-democracy,.md,
false,,publication,P2P Foundation,"",p2p-foundation,.md,
false,,publication,Painful But Fabulous: The Life and Art of Genesis P-Orridge,"",painful-but-fabulous-the-life-and-art-of-genesis-p-orridge,.md,
false,,publication,Paper,,paper,.md,
false,,publication,Pitch Magazine,"",pitch-magazine,.md,
false,,publication,Platform Cooperativism: Ours to Hack and to Own,"",platform-cooperativism-ours-to-hack-and-to-own,.md,
false,,publication,PLGRM,"",plgrm,.md,
false,,publication,Political Perspectives,"",political-perspectives,.md,
false,,publication,Politico,,politico,.md,
